date,county,state,fips,cases,deaths
2020-03-14,Boulder,Colorado,8013,1,0
2020-03-15,Boulder,Colorado,8013,7,0
2020-03-16,Boulder,Colorado,8013,7,0
2020-03-17,Boulder,Colorado,8013,8,0
2020-03-18,Boulder,Colorado,8013,8,0
2020-03-19,Boulder,Colorado,8013,11,0
2020-03-20,Boulder,Colorado,8013,24,0
2020-03-21,Boulder,Colorado,8013,30,0
2020-03-22,Boulder,Colorado,8013,37,0
2020-03-23,Boulder,Colorado,8013,39,0
2020-03-24,Boulder,Colorado,8013,49,0
2020-03-25,Boulder,Colorado,8013,51,0
2020-03-26,Boulder,Colorado,8013,66,0
2020-03-27,Boulder,Colorado,8013,76,1
2020-03-29,Boulder,Colorado,8013,90,1
2020-03-28,Boulder,Colorado,8013,84,1
2020-03-30,Boulder,Colorado,8013,100,1
2020-03-31,Boulder,Colorado,8013,107,2
2020-04-01,Boulder,Colorado,8013,114,2
2020-04-02,Boulder,Colorado,8013,132,2